"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.031493441621,0.0710391111111,-1.09527945679
0.1,-0.026279841621,0.0224855555556,-1.2264494321
0.15,-0.026005441621,-0.0481114666667,-1.29869962963
0.2,-0.030944641621,-0.120278666667,-1.11336106173
0.25,-0.038902241621,-0.175616,-0.567576074074
0.3,-0.050152641621,-0.189640888889,0.247857728395
0.35,-0.060305441621,-0.149090666667,1.02247876543
0.4,-0.066616641621,-0.0719537777778,1.46710839506
0.45,-0.067714241621,0.0143297777778,1.52275061728
0.5,-0.064695841621,0.0911617777778,1.27824666667
0.55,-0.058110241621,0.151987111111,0.775264691358
0.6,-0.048231841621,0.180036888889,0.0350622222222
0.65,-0.037804641621,0.156865333333,-0.723602962963
0.7,-0.030944641621,0.09604,-1.23708666667
0.75,-0.027651841621,0.0189031111111,-1.42815037037
0.8,-0.029298241621,-0.0560995555556,-1.36022790123
0.85,-0.033414241621,-0.124699555556,-1.06211432099
0.9,-0.042195041621,-0.176683111111,-0.44462962963
0.95,-0.053171041621,-0.180951555556,0.401521728395
1,-0.062775041621,-0.130949777778,1.13317037037
1.05,-0.067439841621,-0.0506115555556,1.50648987654
1.1,-0.067714241621,0.0327755555556,1.5451091358
1.15,-0.064147041621,0.113571111111,1.29586246914
1.2,-0.055915041621,0.177902666667,0.685915308642
1.25,-0.044390241621,0.196043555556,-0.207578518519
1.3,-0.033688641621,0.155493333333,-1.06084395062
1.35,-0.027103041621,0.0736306666667,-1.55832098765
1.4,-0.026005441621,-0.0193604444444,-1.60862765432
1.45,-0.029572641621,-0.102442666667,-1.25072197531
1.5,-0.036981441621,-0.157932444444,-0.59038345679
1.55,-0.047134241621,-0.174548888889,0.273214320988
1.6,-0.059207841621,-0.104119555556,0.691928395062
1.65,-0.053719841621,-0.0858262222222,0.757902962963
1.7,-0.067714241621,-0.06174,1.2991654321
1.75,-0.065519041621,0.0559471111111,1.5588291358
1.8,-0.059756641621,0.133388888889,1.07820567901
1.85,-0.050427041621,0.175463555556,0.284817037037
1.9,-0.039999841621,0.161743555556,-0.546852098765
1.95,-0.032591041621,0.108845333333,-1.11826469136
2,-0.028475041621,0.037044,-1.38715975309
2.05,-0.028749441621,-0.039788,-1.38546592593
2.1,-0.032591041621,-0.111436888889,-1.1171637037
2.15,-0.040548641621,-0.164182666667,-0.554728395062
2.2,-0.050701441621,-0.176683111111,0.214777283951
2.25,-0.060305441621,-0.141316,0.951761481481
2.3,-0.066342241621,-0.0696671111111,1.42764222222
