"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.383386747518,0.367696,0.339222765432
0.1,-0.365550747518,0.383474,0.322513160494
0.15,-0.346342747518,0.406477866667,0.203183037037
0.2,-0.324116347518,0.414648888889,-0.102061555556
0.25,-0.303536347518,0.396812888889,-0.452565209877
0.3,-0.284053947518,0.365866666667,-0.771148691358
0.35,-0.266766747518,0.323792,-1.1662
0.4,-0.250577147518,0.255954222222,-1.65605481481
0.45,-0.239326747518,0.151682222222,-2.00608419753
0.5,-0.235210747518,0.0400928888889,-2.06308148148
0.55,-0.236308347518,-0.0577764444444,-2.00854024691
0.6,-0.240698747518,-0.157627555556,-1.94510641975
0.65,-0.251400347518,-0.263881333333,-1.65046518519
0.7,-0.268961947518,-0.333243555556,-1.15137901235
0.75,-0.285974747518,-0.374556,-0.702514814815
0.8,-0.306829147518,-0.399861777778,-0.308361234568
0.85,-0.326585947518,-0.407484,0.117720987654
0.9,-0.348537947518,-0.391782222222,0.618585679012
0.95,-0.366922747518,-0.346963555556,1.1498545679
1,-0.384209947518,-0.276839111111,1.66664123457
1.05,-0.396009147518,-0.174853777778,2.04817580247
1.1,-0.402045947518,-0.0625022222222,2.20155185185
1.15,-0.402594747518,0.0556422222222,2.1155054321
1.2,-0.395734747518,0.158084888889,1.83500765432
1.25,-0.385581947518,0.236593777778,1.57204098765
1.3,-0.372136347518,0.311444,1.34659259259
1.35,-0.354300347518,0.377757333333,0.979370864198
1.4,-0.333445947518,0.420594222222,0.390003703704
1.45,-0.310396347518,0.421508888889,-0.28981382716
1.5,-0.289541947518,0.383855111111,-0.825994814815
1.55,-0.271431547518,0.327603111111,-1.14858419753
1.6,-0.257162747518,0.270893777778,-1.46981851852
1.65,-0.242893947518,0.18522,-1.84085135802
1.7,-0.237680347518,0.0786613333333,-2.04233209877
1.75,-0.235210747518,-0.0271351111111,-2.05520518519
1.8,-0.240149947518,-0.135370666667,-1.87362691358
1.85,-0.250028347518,-0.218605333333,-1.58584567901
1.9,-0.262376347518,-0.290711555556,-1.32465753086
1.95,-0.279114747518,-0.355957777778,-0.96598962963
2,-0.299420347518,-0.391324888889,-0.520343703704
2.05,-0.318902747518,-0.407484,-0.054795308642
2.1,-0.340854747518,-0.401996,0.506030864198
2.15,-0.360885947518,-0.357634666667,1.06685703704
2.2,-0.377624347518,-0.288272444444,1.48768839506
2.25,-0.390246747518,-0.202903555556,1.77402987654
2.3,-0.398204347518,-0.108235555556,1.97398617284
2.35,-0.401497147518,-0.00350622222222,2.09136839506
2.4,-0.399027547518,0.108540444444,2.02861209877
2.45,-0.390246747518,0.210525777778,1.74210123457
2.5,-0.376526747518,0.284918666667,1.38453432099
2.55,-0.361160347518,0.342847555556,1.09107876543
2.6,-0.342775547518,0.401081333333,0.658898765432
2.65,-0.319177147518,0.420136888889,0.0221891358025
2.7,-0.298871547518,0.398184888889,-0.542702222222
2.75,-0.279114747518,0.361140888889,-1.01341679012
2.8,-0.261553147518,0.296047111111,-1.42772691358
2.85,-0.248656347518,0.212050222222,-1.70068716049
2.9,-0.240149947518,0.120431111111,-1.85491012346
2.95,-0.236582747518,0.0253057777778,-1.95730197531
3,-0.237405947518,-0.0750026666667,-2.02090518519
3.05,-0.243442747518,-0.183848,-1.92113876543
3.1,-0.256339547518,-0.280497777778,-1.55510271605
3.15,-0.273352347518,-0.340408444444,-1.12266864198
3.2,-0.290365147518,-0.39102,-0.691759012346
3.25,-0.313414747518,-0.416783111111,-0.139571358025
3.3,-0.333994747518,-0.402300888889,0.373658271605
3.35,-0.353751547518,-0.376232888889,0.839630123457
3.4,-0.372685147518,-0.322724888889,1.36132888889
3.45,-0.387502747518,-0.237660888889,1.81646024691
3.5,-0.397106747518,-0.133236444444,2.08560938272
3.55,-0.401222747518,-0.0207324444444,2.13405283951
3.6,-0.399576347518,0.0954302222222,1.87853901235
3.65,-0.389423547518,0.171042666667,1.53469209877
3.7,-0.382014747518,0.234459555556,1.4226454321
3.75,-0.367197147518,0.314645333333,1.2812108642
3.8,-0.349361147518,0.371812,0.946087160494
3.85,-0.329878747518,0.41846,0.399404444444
3.9,-0.305731547518,0.423185777778,-0.358329135802
3.95,-0.284877147518,0.373488888889,-0.950575802469
4,-0.268413147518,0.314492888889,-1.28637703704
4.05,-0.253321147518,0.246350222222,-1.59778716049
4.1,-0.242619547518,0.155340888889,-1.87481259259
4.15,-0.237131547518,0.050764,-1.98135432099
4.2,-0.237680347518,-0.0522884444444,-1.89352938272
4.25,-0.243168347518,-0.140553777778,-1.74091555556
4.3,-0.251949147518,-0.222568888889,-1.62531185185
4.35,-0.265120347518,-0.306413333333,-1.41985061728
4.4,-0.283230747518,-0.374251111111,-1.0005437037
4.45,-0.303536347518,-0.416173333333,-0.369339012346
4.5,-0.326585947518,-0.416020888889,0.343254074074
4.55,-0.347165947518,-0.373336444444,0.876979012346
4.6,-0.364727547518,-0.310681777778,1.09209506173
4.65,-0.376801147518,-0.264796,1.29789506173
4.7,-0.392167547518,-0.197872888889,1.76208839506
4.75,-0.399301947518,-0.0817102222222,2.08772666667
4.8,-0.399850747518,0.0300315555556,2.05300320988
4.85,-0.395460347518,0.128510666667,1.86769851852
4.9,-0.386679547518,0.216166222222,1.63826962963
4.95,-0.373782747518,0.296504444444,1.32482691358
5,-0.355946747518,0.354128444444,0.908738271605
5.05,-0.337013147518,0.382940444444,0.536689135802
5.1,-0.318079547518,0.409770666667,0.104847901235
5.15,-0.294755547518,0.405502222222,-0.53508
5.2,-0.275273147518,0.354433333333,-1.13689679012
5.25,-0.258534747518,0.28126,-1.53884197531
5.3,-0.246735547518,0.194061777778,-1.7878345679
5.35,-0.239052347518,0.101832888889,-1.97678098765
5.4,-0.235759547518,-0.00579288888889,-2.07866469136
5.45,-0.239326747518,-0.117077333333,-1.94832469136
5.5,-0.248381947518,-0.210068444444,-1.62370271605
5.55,-0.261553147518,-0.277753777778,-1.29958888889
5.6,-0.276370747518,-0.335682666667,-1.03365802469
5.65,-0.295304347518,-0.385074666667,-0.683967407407
5.7,-0.315884347518,-0.410532888889,-0.193096296296
5.75,-0.337287547518,-0.410380444444,0.424134320988
5.8,-0.358690747518,-0.369677777778,1.06236839506
5.85,-0.375703547518,-0.295589777778,1.52571481481
5.9,-0.388600347518,-0.208391555556,1.79596493827
5.95,-0.396832347518,-0.112351555556,1.9534908642
6,-0.400125147518,-0.00990888888889,2.01353703704
6.05,-0.397929947518,0.0939057777778,1.95230518519
6.1,-0.390521147518,0.191775111111,1.74879185185
6.15,-0.377898747518,0.271960888889,1.45550567901
6.2,-0.362806747518,0.337664444444,1.11546987654
6.25,-0.343873147518,0.390257777778,0.638064691358
6.3,-0.322195547518,0.407941333333,0.0473424691358
6.35,-0.301341147518,0.388580888889,-0.441834814815
6.4,-0.283230747518,0.357939555556,-0.831584444444
6.45,-0.265120347518,0.311444,-1.29747160494
6.5,-0.250302747518,0.228819111111,-1.73854419753
6.55,-0.241247547518,0.125004444444,-1.93341901235
6.6,-0.238229147518,0.0253057777778,-1.91910617284
6.65,-0.239326747518,-0.0649413333333,-1.89547728395
6.7,-0.244265947518,-0.161438666667,-1.8764217284
6.75,-0.254967547518,-0.262661777778,-1.64953358025
6.8,-0.271705947518,-0.339341333333,-1.16501432099
6.85,-0.290639547518,-0.379129333333,-0.641537037037
6.9,-0.310121947518,-0.400166666667,-0.160405432099
6.95,-0.331525147518,-0.397575111111,0.349097777778
7,-0.351281947518,-0.364037333333,0.827942716049
7.05,-0.368569147518,-0.311291555556,1.23463061728
7.1,-0.383112347518,-0.239642666667,1.59287506173
7.15,-0.393539547518,-0.146956444444,1.8306037037
7.2,-0.397929947518,-0.0492395555556,1.91504098765
7.25,-0.398204347518,0.0461906666667,1.93460469136
7.3,-0.393539547518,0.144974666667,1.89302123457
7.35,-0.383935547518,0.243606222222,1.67426345679
7.4,-0.368294747518,0.323029777778,1.24199876543
7.45,-0.349909947518,0.366933777778,0.78373382716
7.5,-0.331525147518,0.399709333333,0.331227901235
7.55,-0.309024347518,0.407636444444,-0.243148888889
7.6,-0.288718747518,0.373488888889,-0.775772839506
7.65,-0.271157147518,0.322115111111,-1.1625582716
7.7,-0.256065147518,0.255801777778,-1.49607283951
7.75,-0.244814747518,0.171957333333,-1.78758049383
7.8,-0.238229147518,0.0733257777778,-1.98321753086
7.85,-0.237131547518,-0.0333853333333,-2.01573901235
7.9,-0.241796347518,-0.135370666667,-1.87904716049
7.95,-0.251125947518,-0.226075111111,-1.62268641975
8,-0.265120347518,-0.300163111111,-1.2928982716
8.05,-0.281858747518,-0.355652888889,-0.932621234568
8.1,-0.301066747518,-0.397575111111,-0.481809135802
8.15,-0.323018747518,-0.407788888889,0.0580982716049
8.2,-0.342775547518,-0.392239555556,0.616383703704
8.25,-0.363355547518,-0.347878222222,1.18550962963
8.3,-0.379270747518,-0.266930222222,1.60117481481
8.35,-0.390246747518,-0.177292888889,1.79520271605
8.4,-0.397106747518,-0.0829297777778,1.87244123457
8.45,-0.398478747518,0.0111284444444,1.90132098765
8.5,-0.396009147518,0.106101333333,1.9218162963
8.55,-0.388325947518,0.207629333333,1.82890987654
8.6,-0.374880347518,0.299400888889,1.50979283951
8.65,-0.357318747518,0.366476444444,1.00748839506
8.7,-0.337013147518,0.403368,0.420323209877
8.75,-0.315609947518,0.407331555556,-0.154307654321
8.8,-0.295304347518,0.384769777778,-0.663641481481
8.85,-0.276370747518,0.340408444444,-1.12961333333
8.9,-0.259906747518,0.267235111111,-1.47820296296
8.95,-0.249205147518,0.182628444444,-1.62988518519
9,-0.242070747518,0.101985333333,-1.72355382716
9.05,-0.238777947518,0.0149395555556,-1.87354222222
9.1,-0.239875547518,-0.0853688888889,-1.98923061728
9.15,-0.246735547518,-0.194976444444,-1.86735975309
9.2,-0.260181147518,-0.286138222222,-1.4579617284
9.25,-0.276919547518,-0.344372,-0.955318518518
9.3,-0.295853147518,-0.374403555556,-0.551764197531
9.35,-0.314237947518,-0.397727555556,-0.164131851852
9.4,-0.336189947518,-0.402300888889,0.41803654321
9.45,-0.356769947518,-0.359464,1.04966469136
9.5,-0.373508347518,-0.285223555556,1.45448938272
9.55,-0.385307547518,-0.203818222222,1.64512962963
9.6,-0.393813947518,-0.120431111111,1.78444691358
9.65,-0.397929947518,-0.026068,1.90242197531
9.7,-0.396832347518,0.0756124444444,1.8970017284
9.75,-0.389972347518,0.170280444444,1.74455728395
9.8,-0.379270747518,0.252448,1.51258765432
9.85,-0.364453147518,0.325011555556,1.18982888889
9.9,-0.345793947518,0.375013333333,0.773486172839
9.95,-0.326311547518,0.405807111111,0.268556296296
10,-0.304085147518,0.407636444444,-0.347403950617
10.05,-0.283779547518,0.369830222222,-0.936517037037
10.1,-0.266217947518,0.307785333333,-1.39503604938
10.15,-0.252223547518,0.225160444444,-1.71838765432
10.2,-0.243168347518,0.129882666667,-1.88683876543
10.25,-0.239052347518,0.0300315555556,-1.90403111111
10.3,-0.240424347518,-0.0649413333333,-1.81417358025
10.35,-0.245912347518,-0.152139555556,-1.68637432099
10.4,-0.255790747518,-0.234154666667,-1.52232716049
10.45,-0.269510747518,-0.3087,-1.2580054321
10.5,-0.287346747518,-0.366476444444,-0.852926666667
10.55,-0.307377947518,-0.396508,-0.368746172839
10.6,-0.327683547518,-0.405349777778,0.176073333333
10.65,-0.349086747518,-0.383550222222,0.797792592593
10.7,-0.367745947518,-0.323487111111,1.35379135802
10.75,-0.382563547518,-0.237356,1.68256320988
