"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.042941477845,-0.313120888889,0.156255555556
0.1,-0.058033477845,-0.316398444444,0.504718148148
0.15,-0.076418277845,-0.287205333333,1.05946348148
0.2,-0.088491877845,-0.220739555556,1.77102333333
0.25,-0.100291077845,-0.109302666667,2.4413554321
0.3,-0.101937477845,0.0490871111111,2.55403728395
0.35,-0.093705477845,0.177140444444,2.00007111111
0.4,-0.081906277845,0.256564,1.17365283951
0.45,-0.067088677845,0.300163111111,0.165571604938
0.5,-0.049527077845,0.283699111111,-1.00960567901
0.55,-0.035258277845,0.192232444444,-1.9883837037
0.6,-0.028398277845,0.057624,-2.38931259259
0.65,-0.030044677845,-0.0719537777778,-2.22484197531
0.7,-0.037179077845,-0.1715,-1.80223209877
0.75,-0.047331877845,-0.257326222222,-1.16603061728
0.8,-0.063795877845,-0.310224444444,-0.0900269135802
0.85,-0.082180677845,-0.279888,1.20600493827
0.9,-0.095626277845,-0.168908444444,2.0886582716
0.95,-0.099467877845,-0.0387208888889,2.30885580247
1,-0.098095877845,0.0716488888889,2.20781901235
1.05,-0.092882277845,0.186134666667,1.88709283951
1.1,-0.079162277845,0.282632,1.07820567901
1.15,-0.061875077845,0.315864888889,-0.16336962963
1.2,-0.043764677845,0.265253333333,-1.38639753086
1.25,-0.032788677845,0.153664,-2.13235901235
1.3,-0.028398277845,0.0314035555556,-2.39168395062
1.35,-0.029495877845,-0.0958875555556,-2.31054962963
1.4,-0.038002277845,-0.215708888889,-1.80172395062
1.45,-0.052271077845,-0.300315555556,-0.773824938272
1.5,-0.071479077845,-0.307785333333,0.54321037037
1.55,-0.086845477845,-0.232020444444,1.59160469136
1.6,-0.095626277845,-0.124394666667,2.12575308642
1.65,-0.099467877845,-0.00670755555556,2.30106419753
1.7,-0.096723877845,0.117839555556,2.12905604938
1.75,-0.086845477845,0.221349333333,1.56501160494
1.8,-0.073674277845,0.293912888889,0.573953333333
1.85,-0.054191877845,0.292845777778,-0.675413580247
1.9,-0.040471877845,0.209306222222,-1.59761777778
1.95,-0.033063077845,0.108540444444,-2.02132864198
2,-0.029770277845,0.00198177777778,-2.22780617284
2.05,-0.031965477845,-0.119821333333,-2.18757777778
2.1,-0.041295077845,-0.240557333333,-1.60938987654
2.15,-0.058033477845,-0.312358666667,-0.408889876543
2.2,-0.077515877845,-0.282784444444,0.853096049383
2.25,-0.088217477845,-0.201226666667,1.64953358025
2.3,-0.097272677845,-0.10976,2.18698493827
2.35,-0.101388677845,0.0231715555556,2.46951530864
2.4,-0.095626277845,0.164792444444,2.14709530864
2.45,-0.082729477845,0.261899555556,1.28510666667
2.5,-0.067088677845,0.301992444444,0.177343703704
2.55,-0.050075877845,0.279735555556,-0.939650617284
2.6,-0.036630277845,0.19894,-1.83975037037
2.65,-0.028672677845,0.0794235555556,-2.35365753086
2.7,-0.028398277845,-0.0516786666667,-2.44698740741
2.75,-0.033337477845,-0.185829777778,-2.02615604938
2.8,-0.048429477845,-0.282327111111,-1.02095432099
2.85,-0.065716677845,-0.293760444444,0.149819012346
2.9,-0.079711077845,-0.252752888889,1.08616666667
