"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.428137439812,-0.185067555556,-0.219435308642
0.1,-0.436918239812,-0.196577111111,-0.186320987654
0.15,-0.447345439812,-0.207629333333,-0.102722148148
0.2,-0.458047039812,-0.211288,0.0578865432099
0.25,-0.469023039812,-0.203360888889,0.257334691358
0.3,-0.478901439812,-0.183085777778,0.410668395062
0.35,-0.487407839812,-0.159761777778,0.5145
0.4,-0.495091039812,-0.130797333333,0.605712592593
0.45,-0.500304639812,-0.102290222222,0.748756296296
0.5,-0.506067039812,-0.058996,0.937109876543
0.55,-0.506890239812,-0.00259155555556,1.01570345679
0.6,-0.505792639812,0.0469528888889,0.996986666667
0.65,-0.502225439812,0.0964973333333,0.947865679012
0.7,-0.496463039812,0.147566222222,0.775772839506
0.75,-0.486584639812,0.180799111111,0.483164197531
0.8,-0.477255039812,0.191470222222,0.260002469136
0.85,-0.467651039812,0.201531555556,0.132711358025
0.9,-0.456949439812,0.206409777778,-0.00990888888889
0.95,-0.446522239812,0.201379111111,-0.168197037037
1,-0.436643839812,0.190250666667,-0.345456049383
1.05,-0.427039839812,0.167993777778,-0.540161481481
1.1,-0.419356639812,0.134760888889,-0.701159753086
1.15,-0.413319839812,0.0951253333333,-0.80389037037
1.2,-0.409752639812,0.0522884444444,-0.856399012346
1.25,-0.408106239812,0.00899422222222,-0.884177777778
1.3,-0.408655039812,-0.0375013333333,-0.873930123457
1.35,-0.411947839812,-0.0815577777778,-0.799401728395
1.4,-0.417161439812,-0.118601777778,-0.695739506173
1.45,-0.424021439812,-0.150310222222,-0.59554962963
1.5,-0.432253439812,-0.178817333333,-0.47334
1.55,-0.442131839812,-0.200616888889,-0.290576049383
1.6,-0.452833439812,-0.210373333333,-0.0587758024691
1.65,-0.463809439812,-0.205495111111,0.155239259259
1.7,-0.473687839812,-0.19208,0.311325432099
1.75,-0.483291839812,-0.172414666667,0.430994320988
1.8,-0.490975039812,-0.148633333333,0.544904197531
1.85,-0.498109439812,-0.123175111111,0.738169876543
1.9,-0.504695039812,-0.0725635555556,0.888412345679
1.95,-0.504969439812,-0.0263728888889,0.897559012346
2,-0.506890239812,0.0138724444444,0.943715802469
2.05,-0.504420639812,0.0679902222222,0.96810691358
2.1,-0.499755839812,0.115552888889,0.89010617284
2.15,-0.492895839812,0.161896,0.703954567901
2.2,-0.482743039812,0.190098222222,0.43133308642
2.25,-0.473139039812,0.201988888889,0.208764197531
2.3,-0.462437439812,0.208086666667,0.0420069135802
2.35,-0.452010239812,0.205952444444,-0.110014074074
2.4,-0.441583039812,0.197263111111,-0.264067654321
2.45,-0.431979039812,0.180341777778,-0.434043209877
2.5,-0.423198239812,0.154426222222,-0.608592098765
2.55,-0.416063839812,0.118144444444,-0.750111358025
2.6,-0.411124639812,0.0757648888889,-0.819219506173
2.65,-0.408655039812,0.0347573333333,-0.851148148148
2.7,-0.407557439812,-0.008232,-0.888581728395
2.75,-0.409203839812,-0.0557946666667,-0.885532839506
2.8,-0.413319839812,-0.0998511111111,-0.815323703704
2.85,-0.419356639812,-0.139486666667,-0.690319259259
2.9,-0.427588639812,-0.170890222222,-0.520343703704
2.95,-0.436918239812,-0.191622666667,-0.345117283951
3,-0.447071039812,-0.203970666667,-0.194112592593
3.05,-0.457498239812,-0.210830666667,-0.044462962963
3.1,-0.468474239812,-0.209306222222,0.128138024691
3.15,-0.478627039812,-0.200769333333,0.352485432099
3.2,-0.489328639812,-0.175463555556,0.599530123457
3.25,-0.496737439812,-0.137047555556,0.77390962963
3.3,-0.503048639812,-0.0954302222222,0.884685925926
3.35,-0.506615839812,-0.0468004444444,0.943122962963
3.4,-0.507713439812,0.00152444444444,0.944054567901
3.45,-0.506341439812,0.0484773333333,0.917207407407
3.5,-0.502774239812,0.0929911111111,0.874014814815
3.55,-0.497286239812,0.139486666667,0.753668395062
3.6,-0.488231039812,0.173481777778,0.53508
3.65,-0.479175839812,0.191470222222,0.333853333333
3.7,-0.469023039812,0.204732888889,0.169043950617
3.75,-0.458321439812,0.208544,0.00813037037037
3.8,-0.447894239812,0.205495111111,-0.152105679012
3.85,-0.437467039812,0.194061777778,-0.328687160494
3.9,-0.428137439812,0.173481777778,-0.517464197531
3.95,-0.419631039812,0.141773333333,-0.689302962963
4,-0.413594239812,0.101528,-0.798046666667
4.05,-0.409478239812,0.0596057777778,-0.85191037037
4.1,-0.407557439812,0.0157017777778,-0.880451358025
4.15,-0.407831839812,-0.0295742222222,-0.877910617284
4.2,-0.410575839812,-0.0734782222222,-0.840138271605
4.25,-0.415240639812,-0.115400444444,-0.757733580247
4.3,-0.422375039812,-0.151072444444,-0.630442469136
4.35,-0.430607039812,-0.179884444444,-0.46775037037
4.4,-0.440759839812,-0.19894,-0.28041308642
4.45,-0.450912639812,-0.207629333333,-0.100952098765
4.5,-0.461888639812,-0.207934222222,0.0586911111111
4.55,-0.472041439812,-0.199854666667,0.195128888889
4.6,-0.481645439812,-0.191927555556,0.399997283951
4.65,-0.492072639812,-0.165249777778,0.688964197531
4.7,-0.499207039812,-0.118906666667,0.896119259259
4.75,-0.504146239812,-0.0661608888889,0.927539753086
4.8,-0.504969439812,-0.026068,0.922458271605
4.85,-0.507439039812,0.0237813333333,0.930249876543
4.9,-0.502774239812,0.0750026666667,0.799486419753
4.95,-0.498658239812,0.103967111111,0.662963950617
5,-0.492621439812,0.135523111111,0.614943950617
5.05,-0.485212639812,0.166469333333,0.545497037037
5.1,-0.475883039812,0.194519111111,0.391782222222
5.15,-0.465181439812,0.209611111111,0.156170864198
5.2,-0.454205439812,0.209001333333,-0.0679224691358
5.25,-0.444052639812,0.200464444444,-0.249839506173
5.3,-0.433899839812,0.184305333333,-0.425828148148
5.35,-0.425119039812,0.157170222222,-0.580305185185
5.4,-0.417984639812,0.124394666667,-0.695654814815
5.45,-0.412496639812,0.0865884444444,-0.785427654321
5.5,-0.409203839812,0.045276,-0.855467407407
5.55,-0.407831839812,0.000609777777778,-0.904588395062
5.6,-0.408929439812,-0.0477151111111,-0.894425432099
5.65,-0.412771039812,-0.0925337777778,-0.804229135802
5.7,-0.418533439812,-0.129577777778,-0.674481975309
5.75,-0.425942239812,-0.160524,-0.527711851852
5.8,-0.434997439812,-0.182171111111,-0.379417283951
5.85,-0.444327039812,-0.198177777778,-0.23196962963
5.9,-0.455028639812,-0.207324444444,-0.0544565432099
5.95,-0.465730239812,-0.203360888889,0.121023950617
6,-0.475608639812,-0.192232444444,0.259494320988
6.05,-0.484663839812,-0.181713777778,0.475287901235
6.1,-0.494816639812,-0.149548,0.757648888889
6.15,-0.500579039812,-0.0992413333333,0.90467308642
6.2,-0.504695039812,-0.0483248888889,0.853350123457
6.25,-0.504420639812,-0.0135675555556,0.78204
6.3,-0.506067039812,0.0207324444444,0.862920246914
6.35,-0.503323039812,0.0724111111111,0.946764691358
6.4,-0.498658239812,0.121650666667,0.900861975309
6.45,-0.491249439812,0.170280444444,0.688286666667
6.5,-0.480547839812,0.196043555556,0.362224938272
6.55,-0.470669439812,0.201226666667,0.124835061728
6.6,-0.460516639812,0.203665777778,-0.0184627160494
6.65,-0.450089439812,0.199854666667,-0.152867901235
6.7,-0.440211039812,0.189031111111,-0.294810617284
6.75,-0.430881439812,0.170432888889,-0.442258271605
6.8,-0.422923839812,0.144974666667,-0.592924197531
6.85,-0.416063839812,0.111436888889,-0.74257382716
6.9,-0.411399039812,0.0693622222222,-0.856822469136
6.95,-0.408929439812,0.0225617777778,-0.899845679012
7,-0.409203839812,-0.0234764444444,-0.875369876543
7.05,-0.411399039812,-0.0666182222222,-0.807532098765
7.1,-0.416063839812,-0.105034222222,-0.715980740741
7.15,-0.422100639812,-0.138419555556,-0.613419506173
7.2,-0.430058239812,-0.167231555556,-0.488499753086
7.25,-0.439113439812,-0.188726222222,-0.33055037037
7.3,-0.449266239812,-0.201531555556,-0.14575382716
7.35,-0.459693439812,-0.203665777778,0.0418375308642
7.4,-0.470120639812,-0.195586222222,0.199448148148
7.45,-0.479450239812,-0.181256444444,0.325722962963
7.5,-0.487956639812,-0.167841333333,0.537705432099
7.55,-0.497286239812,-0.132474222222,0.818118518519
7.6,-0.502225439812,-0.0785088888889,0.951507407407
