"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.141787564631,0.388733333333,-0.82309837037
0.1,-0.121481964631,0.357177333333,-1.11904385185
0.15,-0.103371564631,0.297906933333,-1.56824681481
0.2,-0.0899259646313,0.204428,-2.07551417284
0.25,-0.0819683646313,0.08232,-2.43314883951
0.3,-0.0811451646313,-0.0519835555556,-2.48130434568
0.35,-0.0874563646313,-0.179427111111,-2.19663975309
0.4,-0.100078764631,-0.282784444444,-1.6284454321
0.45,-0.117091564631,-0.351079555556,-0.843695308642
0.5,-0.137122764631,-0.372116888889,0.0572513580247
0.55,-0.156330764631,-0.343609777778,0.924744938272
0.6,-0.173069164631,-0.274095111111,1.65800271605
0.65,-0.185142764631,-0.169670666667,2.18063308642
0.7,-0.190905164631,-0.0446662222222,2.42471358025
0.75,-0.189807564631,0.0855213333333,2.36856320988
0.8,-0.181575564631,0.200769333333,2.07324444444
0.85,-0.169227564631,0.299553333333,1.57051654321
0.9,-0.150842764631,0.372726666667,0.745876790123
0.95,-0.129165164631,0.383702666667,-0.279142716049
1,-0.110231564631,0.340103555556,-1.22175753086
1.05,-0.0934931646313,0.252752888889,-1.95857234568
1.1,-0.0836147646313,0.132321777778,-2.39481753086
1.15,-0.0797731646313,0.000152444444444,-2.51025185185
1.2,-0.0836147646313,-0.132016888889,-2.31063432099
1.25,-0.0943163646313,-0.237203555556,-1.90851975309
1.3,-0.107487564631,-0.329432444444,-1.3112762963
1.35,-0.128616364631,-0.384922222222,-0.381534567901
1.4,-0.149196364631,-0.371049777778,0.630357777778
1.45,-0.167306764631,-0.313578222222,1.48472419753
1.5,-0.182124364631,-0.215099111111,2.13760987654
1.55,-0.190081964631,-0.0876555555556,2.48332
1.6,-0.191179564631,0.0477151111111,2.4823037037
1.65,-0.184868364631,0.173176888889,2.16945382716
1.7,-0.172794764631,0.273332888889,1.6248037037
1.75,-0.156330764631,0.341780444444,0.913142222222
1.8,-0.137122764631,0.371049777778,0.0586911111111
1.85,-0.117091564631,0.349555111111,-0.833701728395
1.9,-0.100353164631,0.282784444444,-1.61718148148
1.95,-0.0874563646313,0.180494222222,-2.21137604938
2,-0.0811451646313,0.0509164444444,-2.52854518519
2.05,-0.0819683646313,-0.0871982222222,-2.49085753086
2.1,-0.0904747646313,-0.212355111111,-2.10627407407
2.15,-0.104469164631,-0.307175555556,-1.46143407407
2.2,-0.122305164631,-0.368305777778,-0.590552839506
2.25,-0.143708364631,-0.373336444444,0.409143950617
2.3,-0.162367564631,-0.317694222222,1.22158814815
2.35,-0.176087564631,-0.238728,1.77259012346
2.4,-0.187063564631,-0.136742666667,2.1909654321
2.45,-0.190630764631,-0.0144822222222,2.44088962963
2.5,-0.188984364631,0.117229777778,2.42564518519
2.55,-0.179105964631,0.247417333333,1.98220123457
2.6,-0.162093164631,0.331719111111,1.1783108642
2.65,-0.143708364631,0.364952,0.316745679012
2.7,-0.124500364631,0.362512888889,-0.545581728395
2.75,-0.105566764631,0.312816,-1.41273654321
2.8,-0.0910235646313,0.214032,-2.09602641975
2.85,-0.0830659646313,0.0876555555556,-2.43301333333
2.9,-0.0822427646313,-0.0429893333333,-2.43301333333
2.95,-0.0877307646313,-0.164944888889,-2.16987728395
3,-0.0992555646313,-0.270436444444,-1.64529901235
3.05,-0.116268364631,-0.339798666667,-0.885448148148
3.1,-0.135201964631,-0.362360444444,-0.0306582716049
3.15,-0.154135564631,-0.342085333333,0.815154320988
3.2,-0.171148364631,-0.278058666667,1.5778
3.25,-0.183496364631,-0.176683111111,2.14548617284
3.3,-0.189807564631,-0.0512213333333,2.41929333333
3.35,-0.188709964631,0.078204,2.37313654321
3.4,-0.181575564631,0.197110666667,2.04224740741
3.45,-0.168129964631,0.293150666667,1.44991604938
3.5,-0.150568364631,0.349097777778,0.679817530864
3.55,-0.131634764631,0.363884888889,-0.169552098765
3.6,-0.112426764631,0.333700888889,-1.04060271605
3.65,-0.0962371646313,0.255496888889,-1.79791283951
3.7,-0.0855355646313,0.143450222222,-2.30496
3.75,-0.0811451646313,0.0125004444444,-2.50034296296
3.8,-0.0841635646313,-0.120736,-2.3487454321
3.85,-0.0940419646313,-0.234764444444,-1.89039580247
3.9,-0.108859564631,-0.318456444444,-1.20693654321
3.95,-0.127518764631,-0.361140888889,-0.376537777778
4,-0.146726764631,-0.358854222222,0.513314320988
4.05,-0.165385964631,-0.308242666667,1.35023432099
4.1,-0.179380364631,-0.214489333333,1.97212296296
4.15,-0.187612364631,-0.098784,2.30741604938
4.2,-0.189533164631,0.0256106666667,2.38965135802
4.25,-0.185142764631,0.150157777778,2.20798839506
4.3,-0.173892364631,0.258393333333,1.73600345679
4.35,-0.157977164631,0.334005777778,1.01519530864
4.4,-0.138769164631,0.366476444444,0.135167407407
4.45,-0.119286764631,0.348792888889,-0.774671851852
4.5,-0.101999564631,0.284308888889,-1.57221037037
4.55,-0.0893771646313,0.182628444444,-2.14853506173
4.6,-0.0827915646313,0.057624,-2.42987975309
4.65,-0.0833403646313,-0.0739355555556,-2.37957308642
4.7,-0.0907491646313,-0.192537333333,-2.02725703704
4.75,-0.103645964631,-0.285376,-1.44737530864
4.8,-0.120658764631,-0.343457333333,-0.703107654321
4.85,-0.139592364631,-0.360226222222,0.149903703704
4.9,-0.158525964631,-0.330499555556,1.03094790123
4.95,-0.174715564631,-0.251990666667,1.77868790123
5,-0.185142764631,-0.139486666667,2.23026222222
5.05,-0.188984364631,-0.0157017777778,2.36763160494
5.1,-0.186514764631,0.105491555556,2.26922024691
5.15,-0.178282764631,0.219672444444,1.93756888889
5.2,-0.163739564631,0.311444,1.32609728395
5.25,-0.145354764631,0.361445777778,0.50247382716
5.3,-0.125597964631,0.363122666667,-0.381703950617
5.35,-0.107487564631,0.32242,-1.24979037037
5.4,-0.0915723646313,0.236593777778,-2.0406382716
5.45,-0.0819683646313,0.108388,-2.56479308642
5.5,-0.0797731646313,-0.0402453333333,-2.62136691358
5.55,-0.0866331646313,-0.175311111111,-2.1952
5.6,-0.0992555646313,-0.268759555556,-1.52749333333
5.65,-0.114896364631,-0.326688444444,-0.831584444444
5.7,-0.133006764631,-0.352908888889,-0.099512345679
5.75,-0.151665964631,-0.340713333333,0.699635308642
5.8,-0.168953164631,-0.283546666667,1.48590987654
5.85,-0.181849964631,-0.183848,2.07968098765
5.9,-0.188161164631,-0.0621973333333,2.36551432099
5.95,-0.188161164631,0.0640266666667,2.3588237037
6,-0.181575564631,0.184152888889,2.0743454321
6.05,-0.168953164631,0.283241777778,1.50488074074
6.1,-0.151665964631,0.343914666667,0.71386345679
6.15,-0.132732364631,0.358701777778,-0.173956049383
6.2,-0.113798764631,0.324706666667,-1.01290864198
6.25,-0.0984323646313,0.248179555556,-1.65630888889
6.3,-0.0882795646313,0.149090666667,-2.0775637037
6.35,-0.0833403646313,0.0391782222222,-2.38999012346
6.4,-0.0827915646313,-0.0983266666667,-2.45393209877
6.45,-0.0932187646313,-0.230800888889,-2.00337407407
6.5,-0.108310764631,-0.313578222222,-1.2110017284
6.55,-0.126421164631,-0.351079555556,-0.37128691358
6.6,-0.144805964631,-0.348945333333,0.444121481481
6.65,-0.162916364631,-0.306260888889,1.22099530864
6.7,-0.177185164631,-0.221959111111,1.86515777778
6.75,-0.186240364631,-0.109607555556,2.26523975309
6.8,-0.188709964631,0.0169213333333,2.36500617284
