"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.0919389522631,-0.562215111111,0.0785258271605
0.1,-0.119653352263,-0.566026222222,0.375123432099
0.15,-0.149288552263,-0.549989066667,0.945968592593
0.2,-0.176454152263,-0.49392,1.90099916049
0.25,-0.201698952263,-0.367543555556,3.01970424691
0.3,-0.216516552263,-0.170737777778,3.68693664198
0.35,-0.218711752263,0.0317084444444,3.69051061728
0.4,-0.212400552263,0.215708888889,3.2474054321
0.45,-0.195662152263,0.364342222222,2.55378320988
0.5,-0.174533352263,0.475321777778,1.69840049383
0.55,-0.146818952263,0.545903555556,0.566923950617
0.6,-0.117183752263,0.546970666667,-0.854027654321
0.65,-0.0883717522631,0.460992,-2.24770864198
0.7,-0.0677917522631,0.301382666667,-3.20057111111
0.75,-0.0573645522631,0.113113777778,-3.55830740741
0.8,-0.0576389522631,-0.0618924444444,-3.6252982716
0.85,-0.0620293522631,-0.257631111111,-3.39417555556
0.9,-0.0839813522631,-0.432637333333,-2.50762641975
0.95,-0.109226152263,-0.525780888889,-1.20913851852
1,-0.138861352263,-0.554745333333,0.174548888889
1.05,-0.167673352263,-0.508707111111,1.52918716049
1.1,-0.193192552263,-0.386141777778,2.54268864198
1.15,-0.206912552263,-0.236593777778,3.15568469136
1.2,-0.217614152263,-0.0650937777778,3.54738222222
1.25,-0.214870152263,0.133084,3.55136271605
1.3,-0.203345352263,0.310681777778,3.06658938272
1.35,-0.182765352263,0.459010222222,2.11830024691
1.4,-0.154502152263,0.537519111111,0.818796049383
1.45,-0.125964552263,0.542092444444,-0.537451358025
1.5,-0.0977013522631,0.479285333333,-1.79342419753
1.55,-0.0754749522631,0.353366222222,-2.80870419753
1.6,-0.0606573522631,0.184305333333,-3.46819580247
1.65,-0.0559925522631,-0.010976,-3.68043234568
1.7,-0.0617549522631,-0.204123111111,-3.39155012346
1.75,-0.0773957522631,-0.371354666667,-2.6189108642
1.8,-0.101817352263,-0.475474222222,-1.58245802469
1.85,-0.126787752263,-0.528677333333,-0.485959012346
1.9,-0.156148552263,-0.534470222222,0.807870864198
1.95,-0.184137352263,-0.452455111111,2.14370765432
